Id,Source,Target,Type
990,6,2,directed
991,6,2,directed
992,6,2,directed
993,6,2,directed
994,6,2,directed
995,6,2,directed
996,6,2,directed
997,6,2,directed
998,6,2,directed
999,6,2,directed
1000,6,2,directed
1001,6,2,directed
1002,6,2,directed
1003,6,2,directed
1004,6,2,directed
1005,6,2,directed
1006,6,2,directed
1007,6,2,directed
1008,6,2,directed
1009,6,2,directed
1010,6,2,directed
1011,6,2,directed
1012,6,2,directed
1013,6,2,directed
1014,6,2,directed
1015,6,2,directed
1016,6,2,directed
1017,6,2,directed
1018,6,2,directed
1019,6,2,directed
1020,6,2,directed
1021,6,2,directed
1022,6,2,directed
1023,6,2,directed
1024,6,2,directed
1025,6,2,directed
1026,6,2,directed
1027,6,2,directed
1028,6,2,directed
1029,6,2,directed
1030,6,2,directed
1031,6,2,directed
1032,6,2,directed
1033,6,2,directed
1034,6,2,directed
1035,6,2,directed
1036,6,2,directed
1037,6,2,directed
1038,6,2,directed
1039,6,2,directed
1040,6,2,directed
1041,6,2,directed
1042,6,2,directed
1043,6,2,directed
1044,6,2,directed
1045,6,2,directed
1046,6,2,directed
1047,6,2,directed
1048,6,2,directed
1049,6,2,directed
1050,6,2,directed
1051,6,2,directed
1052,6,2,directed
1053,6,2,directed
1054,6,2,directed
1055,6,2,directed
1056,6,2,directed
1057,6,2,directed
1058,6,2,directed
1059,6,2,directed
1060,6,2,directed
1061,6,2,directed
1062,6,2,directed
1063,6,2,directed
1064,6,2,directed
1065,6,2,directed
1066,6,2,directed
1067,6,2,directed
1068,6,2,directed
1069,6,2,directed
1070,6,2,directed
1071,6,2,directed
1072,6,2,directed
1073,6,2,directed
1074,6,2,directed
1075,6,2,directed
1076,6,2,directed
1077,6,2,directed
1078,6,2,directed
1079,6,2,directed
1080,6,2,directed
1081,6,2,directed
1082,6,2,directed
1083,6,2,directed
1084,6,2,directed
1085,6,2,directed
1086,6,2,directed
1087,6,2,directed
1088,6,2,directed
1089,6,2,directed
1090,6,2,directed
1091,6,2,directed
1092,6,2,directed
1093,6,2,directed
1094,6,2,directed
1095,6,2,directed
1096,6,2,directed
1097,6,2,directed
1098,6,2,directed
1099,6,2,directed
1100,6,2,directed
1101,6,2,directed
1102,6,2,directed
1103,6,2,directed
1104,6,2,directed
1105,6,2,directed
1106,6,2,directed
1107,6,2,directed
1108,6,2,directed
1109,6,2,directed
1110,6,2,directed
1111,6,2,directed
1112,6,2,directed
1113,6,2,directed
1114,6,2,directed
1115,6,2,directed
1116,6,2,directed
1117,6,2,directed
1118,6,2,directed
1119,6,2,directed
1120,6,2,directed
1121,6,2,directed
1122,6,2,directed
1123,6,2,directed
1124,6,2,directed
1125,6,2,directed
1126,6,2,directed
1127,6,2,directed
1128,6,2,directed
1129,6,2,directed
1130,6,2,directed
1131,6,2,directed
1132,6,2,directed
1133,6,2,directed
1134,6,2,directed
1135,6,2,directed
1136,6,2,directed
1137,6,2,directed
1138,6,2,directed
1139,6,2,directed
1140,6,2,directed
1141,6,2,directed
1142,6,2,directed
1143,6,2,directed
1144,6,2,directed
1145,6,2,directed
1146,6,2,directed
1147,6,2,directed
1148,6,2,directed
1149,6,2,directed
1150,6,2,directed
1151,6,2,directed
1152,6,2,directed
1153,6,2,directed
1154,6,2,directed
1155,6,2,directed
1156,6,2,directed
1157,6,2,directed
1158,6,2,directed
1159,6,2,directed
1160,6,2,directed
1161,6,2,directed
1162,6,2,directed
1163,6,2,directed
1164,6,2,directed
1165,6,2,directed
1166,6,2,directed
1167,6,2,directed
1168,6,2,directed
1169,6,2,directed
1170,6,2,directed
1171,6,2,directed
1172,6,2,directed
1173,6,2,directed
1174,6,2,directed
1175,6,2,directed
1176,6,2,directed
1177,6,2,directed
1178,6,2,directed
1179,6,2,directed
1180,6,2,directed
1181,6,2,directed
1182,6,2,directed
1183,6,2,directed
1184,6,2,directed
1185,6,2,directed
1186,6,2,directed
1187,6,2,directed
1188,6,2,directed
1189,6,2,directed
1190,6,2,directed
1191,6,2,directed
1192,6,2,directed
1193,6,2,directed
1194,6,2,directed
1195,6,2,directed
1196,6,2,directed
1197,6,2,directed
1198,6,2,directed
1199,6,2,directed
1200,6,2,directed
1201,6,2,directed
1202,6,2,directed
1203,6,2,directed
1204,6,2,directed
1205,6,2,directed
1206,6,2,directed
1207,6,2,directed
1208,6,2,directed
1209,6,2,directed
1210,6,2,directed
1211,6,2,directed
1212,6,2,directed
1213,6,2,directed
1214,6,2,directed
1215,6,2,directed
1216,6,2,directed
1217,6,2,directed
1218,6,2,directed
1219,6,2,directed
1220,6,2,directed
1221,6,2,directed
1222,6,2,directed
1223,6,2,directed
1224,6,2,directed
1225,6,2,directed
1226,6,2,directed
1227,6,2,directed
1228,6,2,directed
1229,6,2,directed
1230,6,2,directed
1231,6,2,directed
1232,6,2,directed
1233,6,2,directed
1234,6,2,directed
1235,6,2,directed
1236,6,2,directed
1237,6,2,directed
1238,6,2,directed
1239,6,2,directed
1240,6,2,directed
1241,6,2,directed
1242,6,2,directed
1243,6,2,directed
1244,6,2,directed
1245,6,2,directed
1246,6,2,directed
1247,6,2,directed
1248,6,2,directed
1249,6,2,directed
1250,6,2,directed
1251,6,2,directed
1252,6,2,directed
1253,6,2,directed
1254,6,2,directed
1255,6,2,directed
1256,6,2,directed
1257,6,2,directed
1258,6,2,directed
1259,6,2,directed
1260,6,2,directed
1261,6,2,directed
1262,6,2,directed
1263,6,2,directed
1264,6,2,directed
1265,6,2,directed
1266,6,2,directed
1267,6,2,directed
1268,6,2,directed
1269,6,2,directed
1270,6,2,directed
1271,6,2,directed
1272,6,2,directed
1273,6,2,directed
1274,6,2,directed
1275,6,2,directed
1276,6,2,directed
1277,6,2,directed
1278,6,2,directed
1279,6,2,directed
1280,6,2,directed
1281,6,2,directed
1282,6,2,directed
1283,6,2,directed
1284,6,2,directed
1285,6,2,directed
1286,6,2,directed
1287,6,2,directed
1288,6,2,directed
1289,6,2,directed
1290,6,2,directed
1291,6,2,directed
1292,6,2,directed
1293,6,2,directed
1294,6,2,directed
1295,6,2,directed
1296,6,2,directed
1297,6,2,directed
1298,6,2,directed
1299,6,2,directed
1300,6,2,directed
1301,6,2,directed
1302,6,2,directed
1303,6,2,directed
1304,6,2,directed
1305,6,2,directed
1306,6,2,directed
1307,6,2,directed
1308,6,2,directed
1309,6,2,directed
1310,6,2,directed
1311,6,2,directed
1312,6,2,directed
1313,6,2,directed
1314,6,2,directed
1315,6,2,directed
1316,6,2,directed
1317,6,2,directed
1318,6,2,directed
1319,6,2,directed
1320,6,2,directed
1321,6,2,directed
1322,6,2,directed
1323,6,2,directed
1324,6,2,directed
1325,6,2,directed
1326,6,2,directed
1327,6,2,directed
1328,6,2,directed
1329,6,2,directed
1330,6,2,directed
1331,6,2,directed
1332,6,2,directed
1333,6,2,directed
1334,6,2,directed
1335,6,2,directed
1336,6,2,directed
1337,6,2,directed
1338,6,2,directed
1339,6,2,directed
1340,6,2,directed
1341,6,2,directed
1342,6,2,directed
1343,6,2,directed
1344,6,2,directed
1345,6,2,directed
1346,6,2,directed
1347,6,2,directed
1348,6,2,directed
1349,6,2,directed
1350,6,2,directed
1351,6,2,directed
1352,6,2,directed
1353,6,2,directed
1354,6,2,directed
1355,6,2,directed
1356,6,2,directed
1357,6,2,directed
1358,6,2,directed
1359,6,2,directed
1360,6,2,directed
1361,6,2,directed
1362,6,2,directed
1363,6,2,directed
1364,6,2,directed
1365,6,2,directed
1366,6,2,directed
1367,6,2,directed
1368,6,2,directed
1369,6,2,directed
1370,6,2,directed
1371,6,2,directed
1372,6,2,directed
1373,6,2,directed
1374,6,2,directed
1375,6,2,directed
1376,6,2,directed
1377,6,2,directed
1378,6,2,directed
1379,6,2,directed
1380,6,2,directed
1381,6,2,directed
1382,6,2,directed
1383,6,2,directed
1384,6,2,directed
1385,6,2,directed
1386,6,2,directed
1387,6,2,directed
1388,6,2,directed
1389,6,2,directed
1390,6,2,directed
1391,6,2,directed
1392,6,2,directed
1393,6,2,directed
1394,6,2,directed
1395,6,2,directed
1396,6,2,directed
1397,6,2,directed
1398,6,2,directed
1399,6,2,directed
1400,6,2,directed
1401,6,2,directed
1402,6,2,directed
1403,6,2,directed
1404,6,2,directed
1405,6,2,directed
1406,6,2,directed
1407,6,2,directed
1408,6,2,directed
1409,6,2,directed
1410,6,2,directed
1411,6,2,directed
1412,6,2,directed
1413,6,2,directed
1414,6,2,directed
1415,6,2,directed
1416,6,2,directed
1417,6,2,directed
1418,6,2,directed
1419,6,2,directed
1420,6,2,directed
1421,6,2,directed
1422,6,2,directed
1423,6,2,directed
1424,6,2,directed
1425,6,2,directed
1426,6,2,directed
1427,6,2,directed
1428,6,2,directed
1429,6,2,directed
1430,6,2,directed
1431,6,2,directed
1432,6,2,directed
1433,6,2,directed
1434,6,2,directed
1435,6,2,directed
1436,6,2,directed
1437,6,2,directed
1438,6,2,directed
1439,6,2,directed
1440,6,2,directed
1441,6,2,directed
1442,6,2,directed
1443,6,2,directed
1444,6,2,directed
1445,6,2,directed
1446,6,2,directed
1447,6,2,directed
1448,6,2,directed
1449,6,2,directed
1450,6,2,directed
1451,6,2,directed
1452,6,2,directed
1453,6,2,directed
1454,6,2,directed
1455,6,2,directed
1456,6,2,directed
1457,6,2,directed
1458,6,2,directed
1459,6,2,directed
1460,6,2,directed
1461,6,2,directed
1462,6,2,directed
1463,6,2,directed
1464,6,2,directed
1465,6,2,directed
1466,6,2,directed
1467,6,2,directed
1468,6,2,directed
1469,6,2,directed
1470,6,2,directed
1471,6,2,directed
1472,6,2,directed
1473,6,2,directed
1474,6,2,directed
1475,6,2,directed
1476,6,2,directed
1477,6,2,directed
1478,6,2,directed
1479,6,2,directed
1480,6,2,directed
1481,6,2,directed
1482,6,2,directed
1483,6,2,directed
1484,6,2,directed
1485,6,2,directed
1486,6,2,directed
1487,6,2,directed
1488,6,2,directed
1489,6,2,directed
1490,6,2,directed
1491,6,2,directed
1492,6,2,directed
1493,6,2,directed
1494,6,2,directed
1495,6,2,directed
1496,6,2,directed
